dataset_name	uuid	system	path
TCGA-93-A4JO-10A-01D-A24P-08.wxs.N.hg38	6e3864c2-b012-4008-9a99-4ed5cd222d7a	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/6e3864c2-b012-4008-9a99-4ed5cd222d7a/C509.TCGA-93-A4JO-10A-01D-A24P-08.3_gdc_realn.bam
TCGA-93-A4JQ-01A-11D-A24P-08.wxs.T.hg38	b17657f6-b200-4800-8e2c-bbd077106415	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/b17657f6-b200-4800-8e2c-bbd077106415/C509.TCGA-93-A4JQ-01A-11D-A24P-08.3_gdc_realn.bam
TCGA-93-A4JQ-10A-01D-A24P-08.wxs.N.hg38	550da0b4-c0b5-403e-b2c6-1b2b26d3fc2c	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/550da0b4-c0b5-403e-b2c6-1b2b26d3fc2c/C509.TCGA-93-A4JQ-10A-01D-A24P-08.3_gdc_realn.bam
TCGA-98-A53A-01A-11D-A25L-08.wxs.T.hg38	362d16ef-2281-4d23-ad17-b417a9410388	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/362d16ef-2281-4d23-ad17-b417a9410388/C508.TCGA-98-A53A-01A-11D-A25L-08.2_gdc_realn.bam
TCGA-98-A53A-10A-01D-A25L-08.wxs.N.hg38	c4bc5f4d-c8fb-4f70-9287-20bcc7f8c42c	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/c4bc5f4d-c8fb-4f70-9287-20bcc7f8c42c/C508.TCGA-98-A53A-10A-01D-A25L-08.2_gdc_realn.bam
TCGA-98-A53J-01A-11D-A26M-08.wxs.T.hg38	41cce3c3-c5d1-478f-bf3a-eacc4cd5818b	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/41cce3c3-c5d1-478f-bf3a-eacc4cd5818b/C508.TCGA-98-A53J-01A-11D-A26M-08.3_gdc_realn.bam
TCGA-98-A53J-10A-01D-A26K-08.wxs.N.hg38	29a2652b-9c91-4391-af4d-df6396b25c33	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/29a2652b-9c91-4391-af4d-df6396b25c33/C508.TCGA-98-A53J-10A-01D-A26K-08.3_gdc_realn.bam
TCGA-A2-A0CX-01A-21W-A019-09.wxs.T.hg38	97b5e7c5-7801-481d-a3b5-01653cf015e9	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/97b5e7c5-7801-481d-a3b5-01653cf015e9/TCGA-A2-A0CX-01A-21W-A019-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0CX-10A-01W-A021-09.wxs.N.hg38	e63ee448-3d08-40ee-999b-44ba3048c212	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/e63ee448-3d08-40ee-999b-44ba3048c212/TCGA-A2-A0CX-10A-01W-A021-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0CX.ATAC-Seq.T.hg38	bdadecba-dc69-4eab-88c0-1ea184243f61	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/bdadecba-dc69-4eab-88c0-1ea184243f61/a30fd347-442d-49e6-a16e-f2b691ecb9f5_atacseq_gdc_realn.bam
